matchTimestamp,type.primary,type.secondary,player.name,team.name,pass.recipient.name
01:04:42.859,pass,"['forward_pass', 'long_pass', 'loss', 'pass_to_final_third', 'pass_to_penalty_area']",Marta Cazalla,Grasshopper,L. Vetterlein
01:05:03.706,pass,"['cross', 'cross_blocked', 'touch_in_box']",K. Wienerroither,Grasshopper,
01:05:38.055,pass,"['lateral_pass', 'short_or_medium_pass']",S. Piubel,Zürich,A. Pilgrim
01:05:43.109,pass,"['back_pass', 'short_or_medium_pass']",A. Pilgrim,Zürich,N. Mégroz
01:05:45.475,pass,"['forward_pass', 'long_pass', 'pass_to_final_third', 'progressive_pass']",N. Mégroz,Zürich,S. Piubel
01:05:55.433,pass,"['forward_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",J. Egli,Grasshopper,M. Höbinger
01:05:58.601,pass,"['lateral_pass', 'long_pass', 'recovery']",M. Höbinger,Zürich,N. Riesen
01:06:04.955,pass,"['lateral_pass', 'short_or_medium_pass']",N. Riesen,Zürich,J. Stierli
01:06:08.340,pass,"['forward_pass', 'short_or_medium_pass']",J. Stierli,Zürich,M. Rey
01:06:14.162,pass,"['forward_pass', 'long_pass', 'loss']",J. Stierli,Zürich,S. Jackson
01:06:16.348,pass,"['forward_pass', 'head_pass', 'short_or_medium_pass']",E. Ljustina,Grasshopper,
01:07:02.013,pass,"['back_pass', 'short_or_medium_pass']",M. Rey,Zürich,J. Stierli
01:07:03.277,pass,"['forward_pass', 'long_pass', 'progressive_pass']",J. Stierli,Zürich,
01:07:05.813,pass,"['head_pass', 'short_or_medium_pass']",O. Woś,Zürich,
01:07:25.717,pass,['short_or_medium_pass'],V. Laino,Grasshopper,S. Jackson
01:07:27.440,pass,"['forward_pass', 'short_or_medium_pass']",S. Jackson,Grasshopper,K. Wienerroither
01:07:32.666,pass,"['loss', 'progressive_pass', 'short_or_medium_pass']",K. Wienerroither,Grasshopper,M. Höbinger
01:07:38.391,pass,"['cross', 'deep_completed_cross', 'lateral_pass', 'pass_to_penalty_area', 'progressive_pass']",M. Höbinger,Zürich,A. Pilgrim
01:07:45.839,pass,"['cross', 'cross_blocked', 'touch_in_box']",A. Pilgrim,Zürich,
01:08:25.372,pass,"['forward_pass', 'long_pass', 'pass_to_final_third']",Zhang Linyan,Grasshopper,N. Mégroz
01:08:29.534,pass,"['lateral_pass', 'recovery', 'short_or_medium_pass']",N. Mégroz,Zürich,S. Friedli
01:08:40.779,pass,"['lateral_pass', 'short_or_medium_pass']",S. Friedli,Zürich,N. Mégroz
01:08:44.723,pass,"['forward_pass', 'loss', 'progressive_pass', 'short_or_medium_pass']",N. Mégroz,Zürich,J. Egli
01:08:51.168,pass,"['forward_pass', 'loss', 'short_or_medium_pass']",A. Pilgrim,Zürich,V. Laino
01:09:06.928,pass,"['deep_completion', 'short_or_medium_pass', 'touch_in_box']",Zhang Linyan,Grasshopper,K. Wienerroither
